"sample","elevation","population"
"BOR614","2326","Trusmadi"
"BOR615","2399","Trusmadi"
"BOR616","2399","Trusmadi"
"BOR618","2551","Trusmadi"
"BOR619","2551","Trusmadi"
"BOR621","2408","Trusmadi"
"BOR626","2626","Trusmadi"
"BOR1061","2326","Trusmadi"
"BOR1063","2551","Trusmadi"
"BOR1069","2558","Trusmadi"
"BOR1070","2626","Trusmadi"
"BOR1071","2561","Trusmadi"
"BOR1074","2626","Trusmadi"
"BOR1075","2558","Trusmadi"
"BOR1077","2319","Trusmadi"
"BOR1079","2399","Trusmadi"
"BOR1080","2626","Trusmadi"
"BOR1082","2625","Trusmadi"
"BOR1086","2628","Trusmadi"
"BOR1088","2633","Trusmadi"
"BOR1090","2632","Trusmadi"
"BOR1091","2561","Trusmadi"
"BOR1097","2626","Trusmadi"
"BOR1098","2634","Trusmadi"
"BOR1101","2626","Trusmadi"
"BOR1107","2626","Trusmadi"
"BOR1111","2626","Trusmadi"
"BOR1113","2626","Trusmadi"
"BOR1115","2625","Trusmadi"
"BOR1139","2626","Trusmadi"
"BOR1141","2628","Trusmadi"
"BOR1143","2628","Trusmadi"
"BOR1147","2626","Trusmadi"
"BOR1149","2626","Trusmadi"
"BOR1151","2626","Trusmadi"
"BOR1155","2636","Trusmadi"
"BOR1125","2632","Trusmadi"
"BOR1127","2626","Trusmadi"
"BOR1129","2634","Trusmadi"
"BOR1131","2634","Trusmadi"
"BOR1133","2633","Trusmadi"
"BOR1135","2628","Trusmadi"
"BOR1137","2628","Trusmadi"
"BOR1076","2626","Trusmadi"
"BOR161","2050","Tambuyukon"
"BOR201","2449","Tambuyukon"
"BOR207","2377","Tambuyukon"
"BOR209","2363","Tambuyukon"
"BOR210","2381","Tambuyukon"
"BOR212","2477","Tambuyukon"
"BOR216","2363","Tambuyukon"
"BOR223","2449","Tambuyukon"
"BOR226","2363","Tambuyukon"
"BOR230","2363","Tambuyukon"
"BOR326","2701","Kinabalu"
"BOR343","2757","Kinabalu"
"BOR344","2757","Kinabalu"
"BOR348","2730","Kinabalu"
"BOR354","2730","Kinabalu"
"BOR362","2757","Kinabalu"
"BOR364","2683","Kinabalu"
"BOR372","2752","Kinabalu"
"BOR373","2757","Kinabalu"
"BOR374","2745","Kinabalu"
"BOR376","2670","Kinabalu"
"BOR377","2683","Kinabalu"
"BOR378","2730","Kinabalu"
"BOR379","2737","Kinabalu"
"BOR383","3275","Kinabalu"
"BOR384","3294","Kinabalu"
"BOR391","3317","Kinabalu"
"BOR392","3367","Kinabalu"
"BOR393","3336","Kinabalu"
"BOR398","3426","Kinabalu"
"BOR399","3317","Kinabalu"
"BOR400","3235","Kinabalu"
"BOR401","3275","Kinabalu"
"BOR403","3382","Kinabalu"
"BOR405","3222","Kinabalu"
"BOR519","2040","Tambuyukon"
"BOR528","2274","Tambuyukon"
"BOR529","2283","Tambuyukon"
"BOR531","2291","Tambuyukon"
"BOR532","2305","Tambuyukon"
"BOR533","2363","Tambuyukon"
"BOR534","2344","Tambuyukon"
"BOR540","2194","Tambuyukon"
"BOR543","2291","Tambuyukon"
"BOR548","2240","Tambuyukon"
"BOR556","2274","Tambuyukon"
"BOR557","2349","Tambuyukon"
